date,median_pred_mwh,p10_mwh,p50_mwh,p90_mwh
2025-02-09,3089628.907756161,2941178.3539972585,3098030.033347255,3233150.3622472566
2025-02-10,3126595.922067739,2965731.5324088386,3124579.166408833,3277497.1703588357
2025-02-11,3111893.1937372563,2954225.158578353,3128377.4410783504,3247684.7950783526
2025-02-12,3138441.599644724,2973470.2473858176,3153797.75023582,3287783.4505358217
2025-02-13,3178506.1102619176,3047378.7331030145,3182703.4133530143,3311448.2306030127
2025-02-14,3173809.964276027,3025359.4105171245,3176814.9208671222,3316795.2591171223
2025-02-15,3160204.6404721923,3022286.507263285,3155970.610313287,3296027.8567632893
2025-02-16,3139649.619441576,2978864.078782673,3130470.0047826716,3275206.799732674
2025-02-17,3106831.2863997295,2947768.907340823,3095533.504240823,3276877.011790827
2025-02-18,3087673.111400963,2929507.915742059,3101627.7402420556,3255173.895242059
2025-02-19,3163949.2472671224,2965338.249058218,3162238.8053582176,3314910.723658219
2025-02-20,3131709.780538431,3004748.159729528,3146901.4178795256,3311489.2823795225
2025-02-21,3172820.8968383586,3023902.478529456,3186434.4894294525,3309343.7060794495
2025-02-22,3205750.556657472,3044957.1310985694,3196012.914248569,3342760.151198563
2025-02-23,3243855.144682873,3083447.8760239664,3253742.563023971,3394519.3491739677
2025-02-24,3234742.9382287688,3069771.5859698625,3240461.5235698638,3386764.0738198617
2025-02-25,3274731.880124386,3148011.886715483,3283881.1054654825,3433948.7966654813
2025-02-26,3305916.8533899346,3163010.3311310313,3311740.661231033,3439441.33223103
2025-02-27,3317694.606492054,3158640.1123331473,3315024.9320831466,3485205.707033151
2025-02-28,3275240.6425878117,3121471.6378289075,3276255.8511789097,3414928.192928908
2025-03-01,3302194.602191786,3166892.6830328815,3311341.482782881,3463185.5033328775
2025-03-02,3318729.104924728,3193898.502715826,3319542.251265824,3450765.0635658214
2025-03-03,3221125.561131786,3094405.567722883,3237072.5854728743,3353223.0782728787
2025-03-04,3232505.737138836,3054358.3896799283,3227695.474229931,3400109.6879799366
2025-03-05,3237721.533460822,3078352.257401915,3244409.683801917,3373371.88720192
2025-03-06,3267342.200993833,3141863.162434928,3268589.500334927,3419724.4840349257
2025-03-07,3329014.3180332817,3137222.2572243805,3334345.529624376,3481199.4916743743
2025-03-08,3258792.964176239,3129751.4206673326,3278375.928017337,3409517.3967673336
2025-03-09,3285714.563856981,3126852.408198074,3292736.2011980773,3436678.649798076
2025-03-10,3311992.033023289,3137439.382764388,3316189.3361143856,3447815.249314386
2025-03-11,3198476.310157541,3070189.0572986347,3201782.5897486396,3336081.3100986322
2025-03-12,3182036.189405551,3045469.838296647,3190121.6207466475,3317832.1095966487
2025-03-13,3309409.5240402743,3151174.63238137,3306290.5711313663,3449326.14288137
2025-03-14,3216480.0804300057,3055379.7578711025,3226367.4987711036,3348131.615271102
2025-03-15,3244990.3385589016,3085935.8443999947,3252788.030899999,3413501.696049993
2025-03-16,3253102.854409243,3111747.78285034,3284336.4742503464,3403767.0589003377
2025-03-17,3277225.5190597256,3136870.502150822,3284279.801150824,3389928.618900822
2025-03-18,3265684.563005759,3100473.8461468522,3279541.7248468515,3424178.1592468536
2025-03-19,3269966.0811779466,3123778.873469045,3253570.5892690406,3403949.856319042
2025-03-20,3269293.170928838,3122057.2148699365,3268562.399269934,3420194.419219935
2025-03-21,3346733.549465758,3209463.4374568504,3330470.2025568523,3483725.2771568545
2025-03-22,3378691.322297121,3247134.4746382176,3393407.778638217,3522468.1834882163
2025-03-23,3400236.5770935593,3273831.8520846544,3429363.9866846553,3569302.871184651
2025-03-24,3381108.3999310257,3241216.011672122,3383530.0215221206,3518938.688672126
2025-03-25,3336482.2101106825,3208194.957251776,3343218.4532017815,3469424.3304517777
2025-03-26,3159192.249279453,3018947.603920549,3166849.964620548,3294922.29212055
2025-03-27,3288131.599488084,3145225.077229181,3296904.166329181,3436707.559329182
2025-03-28,3379130.2307463037,3243657.342437399,3393182.3265873967,3518499.686037399
2025-03-29,3375913.9693293143,3235098.0951204114,3402064.3194204085,3534407.565570409
2025-03-30,3379651.5367787667,3238373.033919864,3380464.6831198623,3548402.38561986
